"@timestamp","_id","_ignored","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","destination.address","destination.ip","destination.port","dns.answers.data","dns.answers.ttl","dns.header_flags","dns.id","dns.question.class","dns.question.name","dns.question.registered_domain","dns.question.subdomain","dns.question.top_level_domain","dns.question.type","dns.resolved_ip","dns.response_code","dns.type","ecs.version","event.category","event.created","event.dataset","event.duration","event.id","event.ingested","event.kind","event.module","event.original","event.outcome","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset","network.community_id","network.direction","network.protocol","network.transport","related.ip","service.type","source.address","source.ip","source.port",tags,"zeek.dns.AA","zeek.dns.RA","zeek.dns.RD","zeek.dns.TC","zeek.dns.TTLs","zeek.dns.answers","zeek.dns.qclass","zeek.dns.qclass_name","zeek.dns.qtype","zeek.dns.qtype_name","zeek.dns.query","zeek.dns.rcode","zeek.dns.rcode_name","zeek.dns.rejected","zeek.dns.rtt","zeek.dns.trans_id","zeek.session_id"
"Oct 25, 2025 @ 04:56:52.343","wONMGZoBfVQxV9_udQX-","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","192.168.56.3","192.168.56.3",53,"-","-",RD,1984,IN,"example.lab","example.lab","-",lab,A,"-","-",query,"1.12.0",network,"Oct 25, 2025 @ 04:57:08.776","zeek.dns","-",CpTwO7JjSXG1ML0h8,"Oct 25, 2025 @ 04:57:12.702",event,zeek,"{""ts"":1761361012.343313,""uid"":""CpTwO7JjSXG1ML0h8"",""id.orig_h"":""192.168.56.2"",""id.orig_p"":49647,""id.resp_h"":""192.168.56.3"",""id.resp_p"":53,""proto"":""udp"",""trans_id"":1984,""query"":""example.lab"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":1,""qtype_name"":""A"",""AA"":false,""TC"":false,""RD"":true,""RA"":false,""Z"":2,""rejected"":false}","-","connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","692,582","1:n/WgPQBz6CxZSuNrCIioW51kQdU=",internal,dns,udp,"192.168.56.2, 192.168.56.3",zeek,"192.168.56.2","192.168.56.2",49647,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",false,false,true,false,"-","-",1,"C_INTERNET",1,A,"example.lab","-","-",false,"-",1984,CpTwO7JjSXG1ML0h8
"Oct 25, 2025 @ 04:55:52.323","ueNLGZoBfVQxV9_uYAWa","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","192.168.56.3","192.168.56.3",53,"-","-",RD,37006,IN,"example.lab","example.lab","-",lab,A,"-",NXDOMAIN,answer,"1.12.0",network,"Oct 25, 2025 @ 04:55:53.768","zeek.dns","-",CkMuad3M1L3GVZWF8a,"Oct 25, 2025 @ 04:56:01.689",event,zeek,"{""ts"":1761360952.323008,""uid"":""CkMuad3M1L3GVZWF8a"",""id.orig_h"":""192.168.56.2"",""id.orig_p"":32896,""id.resp_h"":""192.168.56.3"",""id.resp_p"":53,""proto"":""udp"",""trans_id"":37006,""query"":""example.lab"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":1,""qtype_name"":""A"",""rcode"":3,""rcode_name"":""NXDOMAIN"",""AA"":false,""TC"":false,""RD"":true,""RA"":false,""Z"":2,""rejected"":false}",failure,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","692,225","1:SoeHacHQDCXXGmbN0iY312VEAJ4=",internal,dns,udp,"192.168.56.2, 192.168.56.3",zeek,"192.168.56.2","192.168.56.2",32896,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",false,false,true,false,"-","-",1,"C_INTERNET",1,A,"example.lab",3,NXDOMAIN,false,"-",37006,CkMuad3M1L3GVZWF8a
"Oct 25, 2025 @ 04:55:41.872","teNLGZoBfVQxV9_uOAUF","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","192.168.56.3","192.168.56.3",53,"-","-",RD,45315,IN,"beacon.14.lab","14.lab",beacon,lab,A,"-",NXDOMAIN,answer,"1.12.0",network,"Oct 25, 2025 @ 04:55:50.766","zeek.dns","-",CAkCPX2QcAnMz9PQqj,"Oct 25, 2025 @ 04:55:51.301",event,zeek,"{""ts"":1761360941.872844,""uid"":""CAkCPX2QcAnMz9PQqj"",""id.orig_h"":""192.168.56.2"",""id.orig_p"":55823,""id.resp_h"":""192.168.56.3"",""id.resp_p"":53,""proto"":""udp"",""trans_id"":45315,""query"":""beacon.14.lab"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":1,""qtype_name"":""A"",""rcode"":3,""rcode_name"":""NXDOMAIN"",""AA"":false,""TC"":false,""RD"":true,""RA"":false,""Z"":2,""rejected"":false}",failure,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","691,866","1:FfKCQAtK8tw6+k2PnU1YIZyhEIE=",internal,dns,udp,"192.168.56.2, 192.168.56.3",zeek,"192.168.56.2","192.168.56.2",55823,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",false,false,true,false,"-","-",1,"C_INTERNET",1,A,"beacon.14.lab",3,NXDOMAIN,false,"-",45315,CAkCPX2QcAnMz9PQqj
"Oct 25, 2025 @ 04:54:54.428","q-NKGZoBfVQxV9_ufgUQ","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","192.168.56.3","192.168.56.3",53,"-","-",RD,19045,IN,"example.lab","example.lab","-",lab,A,"-",NXDOMAIN,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:55.757","zeek.dns","-",CeJL817GOvwFK1K,"Oct 25, 2025 @ 04:55:03.696",event,zeek,"{""ts"":1761360894.428455,""uid"":""CeJL817GOvwFK1K"",""id.orig_h"":""192.168.56.2"",""id.orig_p"":53434,""id.resp_h"":""192.168.56.3"",""id.resp_p"":53,""proto"":""udp"",""trans_id"":19045,""query"":""example.lab"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":1,""qtype_name"":""A"",""rcode"":3,""rcode_name"":""NXDOMAIN"",""AA"":false,""TC"":false,""RD"":true,""RA"":false,""Z"":2,""rejected"":false}",failure,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","691,512","1:z9Sra2t60gvfyiCNH4j3FnEP3IA=",internal,dns,udp,"192.168.56.2, 192.168.56.3",zeek,"192.168.56.2","192.168.56.2",53434,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",false,false,true,false,"-","-",1,"C_INTERNET",1,A,"example.lab",3,NXDOMAIN,false,"-",19045,CeJL817GOvwFK1K
"Oct 25, 2025 @ 04:54:41.672","peNKGZoBfVQxV9_uTgUY","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","192.168.56.3","192.168.56.3",53,"-","-",RD,56937,IN,"beacon.13.lab","13.lab",beacon,lab,A,"-",NXDOMAIN,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:48.754","zeek.dns","-",CDxoPa30oPqppG2GZh,"Oct 25, 2025 @ 04:54:51.405",event,zeek,"{""ts"":1761360881.672878,""uid"":""CDxoPa30oPqppG2GZh"",""id.orig_h"":""192.168.56.2"",""id.orig_p"":50656,""id.resp_h"":""192.168.56.3"",""id.resp_p"":53,""proto"":""udp"",""trans_id"":56937,""query"":""beacon.13.lab"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":1,""qtype_name"":""A"",""rcode"":3,""rcode_name"":""NXDOMAIN"",""AA"":false,""TC"":false,""RD"":true,""RA"":false,""Z"":2,""rejected"":false}",failure,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","691,153","1:yob5IAvIISMFPO/uHZiegIwA2NU=",internal,dns,udp,"192.168.56.2, 192.168.56.3",zeek,"192.168.56.2","192.168.56.2",50656,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",false,false,true,false,"-","-",1,"C_INTERNET",1,A,"beacon.13.lab",3,NXDOMAIN,false,"-",56937,CDxoPa30oPqppG2GZh
"Oct 25, 2025 @ 04:54:10.286","nuNJGZoBfVQxV9_u3QX1","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","ff02::fb","ff02::fb",5353,"fe80::6588:b5b4:d4a:6871, 192.168.56.1","60, 60",AA,0,IN,"ech-rog.local","ech-rog.local","-",local,"*","fe80::6588:b5b4:d4a:6871, 192.168.56.1",NOERROR,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:13.749","zeek.dns","0.7",CrIrgE1m2PiwrBcfX2,"Oct 25, 2025 @ 04:54:22.706",event,zeek,"{""ts"":1761360850.28636,""uid"":""CrIrgE1m2PiwrBcfX2"",""id.orig_h"":""fe80::6588:b5b4:d4a:6871"",""id.orig_p"":5353,""id.resp_h"":""ff02::fb"",""id.resp_p"":5353,""proto"":""udp"",""trans_id"":0,""rtt"":0.0007419586181640625,""query"":""ech-rog.local"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":255,""qtype_name"":""*"",""rcode"":0,""rcode_name"":""NOERROR"",""AA"":true,""TC"":false,""RD"":false,""RA"":false,""Z"":0,""answers"":[""fe80::6588:b5b4:d4a:6871"",""192.168.56.1""],""TTLs"":[60.0,60.0],""rejected"":false}",success,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","690,231","1:KLm6QgPlRwgF19py8dmuC4uMmkE=",external,dns,udp,"fe80::6588:b5b4:d4a:6871, ff02::fb",zeek,"fe80::6588:b5b4:d4a:6871","fe80::6588:b5b4:d4a:6871",5353,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",true,false,false,false,"60, 60","fe80::6588:b5b4:d4a:6871, 192.168.56.1",1,"C_INTERNET",255,"*","ech-rog.local",0,NOERROR,false,"0.001",0,CrIrgE1m2PiwrBcfX2
"Oct 25, 2025 @ 04:54:10.285","n-NJGZoBfVQxV9_u3QX1","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","224.0.0.251","224.0.0.251",5353,"fe80::6588:b5b4:d4a:6871, 192.168.56.1","60, 60",AA,0,IN,"ech-rog.local","ech-rog.local","-",local,"*","fe80::6588:b5b4:d4a:6871, 192.168.56.1",NOERROR,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:13.749","zeek.dns","2.8",CQjYHh2AUocTJ6kfAb,"Oct 25, 2025 @ 04:54:22.706",event,zeek,"{""ts"":1761360850.285948,""uid"":""CQjYHh2AUocTJ6kfAb"",""id.orig_h"":""192.168.56.1"",""id.orig_p"":5353,""id.resp_h"":""224.0.0.251"",""id.resp_p"":5353,""proto"":""udp"",""trans_id"":0,""rtt"":0.0028350353240966797,""query"":""ech-rog.local"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":255,""qtype_name"":""*"",""rcode"":0,""rcode_name"":""NOERROR"",""AA"":true,""TC"":false,""RD"":false,""RA"":false,""Z"":0,""answers"":[""fe80::6588:b5b4:d4a:6871"",""192.168.56.1""],""TTLs"":[60.0,60.0],""rejected"":false}",success,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","690,696","1:yE1mvMiAIq2FzsFZ4s/DHt9ThWk=",outbound,dns,udp,"192.168.56.1, 224.0.0.251",zeek,"192.168.56.1","192.168.56.1",5353,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",true,false,false,false,"60, 60","fe80::6588:b5b4:d4a:6871, 192.168.56.1",1,"C_INTERNET",255,"*","ech-rog.local",0,NOERROR,false,"0.003",0,CQjYHh2AUocTJ6kfAb
"Oct 25, 2025 @ 04:54:10.283","nONJGZoBfVQxV9_u3QX1","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","224.0.0.251","224.0.0.251",5353,"fe80::6588:b5b4:d4a:6871, 192.168.56.1","60, 60",AA,0,IN,"ech-rog.local","ech-rog.local","-",local,"*","fe80::6588:b5b4:d4a:6871, 192.168.56.1",NOERROR,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:13.748","zeek.dns","1.4",CQjYHh2AUocTJ6kfAb,"Oct 25, 2025 @ 04:54:22.706",event,zeek,"{""ts"":1761360850.283349,""uid"":""CQjYHh2AUocTJ6kfAb"",""id.orig_h"":""192.168.56.1"",""id.orig_p"":5353,""id.resp_h"":""224.0.0.251"",""id.resp_p"":5353,""proto"":""udp"",""trans_id"":0,""rtt"":0.0014078617095947266,""query"":""ech-rog.local"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":255,""qtype_name"":""*"",""rcode"":0,""rcode_name"":""NOERROR"",""AA"":true,""TC"":false,""RD"":false,""RA"":false,""Z"":0,""answers"":[""fe80::6588:b5b4:d4a:6871"",""192.168.56.1""],""TTLs"":[60.0,60.0],""rejected"":false}",success,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","689,308","1:yE1mvMiAIq2FzsFZ4s/DHt9ThWk=",outbound,dns,udp,"192.168.56.1, 224.0.0.251",zeek,"192.168.56.1","192.168.56.1",5353,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",true,false,false,false,"60, 60","fe80::6588:b5b4:d4a:6871, 192.168.56.1",1,"C_INTERNET",255,"*","ech-rog.local",0,NOERROR,false,"0.001",0,CQjYHh2AUocTJ6kfAb
"Oct 25, 2025 @ 04:54:10.283","neNJGZoBfVQxV9_u3QX1","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","ff02::fb","ff02::fb",5353,"fe80::6588:b5b4:d4a:6871, 192.168.56.1","60, 60",AA,0,IN,"ech-rog.local","ech-rog.local","-",local,"*","fe80::6588:b5b4:d4a:6871, 192.168.56.1",NOERROR,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:13.749","zeek.dns","1.1",CrIrgE1m2PiwrBcfX2,"Oct 25, 2025 @ 04:54:22.706",event,zeek,"{""ts"":1761360850.283997,""uid"":""CrIrgE1m2PiwrBcfX2"",""id.orig_h"":""fe80::6588:b5b4:d4a:6871"",""id.orig_p"":5353,""id.resp_h"":""ff02::fb"",""id.resp_p"":5353,""proto"":""udp"",""trans_id"":0,""rtt"":0.0010509490966796875,""query"":""ech-rog.local"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":255,""qtype_name"":""*"",""rcode"":0,""rcode_name"":""NOERROR"",""AA"":true,""TC"":false,""RD"":false,""RA"":false,""Z"":0,""answers"":[""fe80::6588:b5b4:d4a:6871"",""192.168.56.1""],""TTLs"":[60.0,60.0],""rejected"":false}",success,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","689,765","1:KLm6QgPlRwgF19py8dmuC4uMmkE=",external,dns,udp,"fe80::6588:b5b4:d4a:6871, ff02::fb",zeek,"fe80::6588:b5b4:d4a:6871","fe80::6588:b5b4:d4a:6871",5353,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",true,false,false,false,"60, 60","fe80::6588:b5b4:d4a:6871, 192.168.56.1",1,"C_INTERNET",255,"*","ech-rog.local",0,NOERROR,false,"0.001",0,CrIrgE1m2PiwrBcfX2
"Oct 25, 2025 @ 04:54:10.248","m-NJGZoBfVQxV9_u3QX1","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","ff02::fb","ff02::fb",5353,"fe80::6588:b5b4:d4a:6871, 192.168.56.1","60, 60",AA,0,IN,"ech-rog.local","ech-rog.local","-",local,"*","fe80::6588:b5b4:d4a:6871, 192.168.56.1",NOERROR,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:13.748","zeek.dns","0.8",CrIrgE1m2PiwrBcfX2,"Oct 25, 2025 @ 04:54:22.705",event,zeek,"{""ts"":1761360850.248016,""uid"":""CrIrgE1m2PiwrBcfX2"",""id.orig_h"":""fe80::6588:b5b4:d4a:6871"",""id.orig_p"":5353,""id.resp_h"":""ff02::fb"",""id.resp_p"":5353,""proto"":""udp"",""trans_id"":0,""rtt"":0.0007679462432861328,""query"":""ech-rog.local"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":255,""qtype_name"":""*"",""rcode"":0,""rcode_name"":""NOERROR"",""AA"":true,""TC"":false,""RD"":false,""RA"":false,""Z"":0,""answers"":[""fe80::6588:b5b4:d4a:6871"",""192.168.56.1""],""TTLs"":[60.0,60.0],""rejected"":false}",success,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","688,842","1:KLm6QgPlRwgF19py8dmuC4uMmkE=",external,dns,udp,"fe80::6588:b5b4:d4a:6871, ff02::fb",zeek,"fe80::6588:b5b4:d4a:6871","fe80::6588:b5b4:d4a:6871",5353,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",true,false,false,false,"60, 60","fe80::6588:b5b4:d4a:6871, 192.168.56.1",1,"C_INTERNET",255,"*","ech-rog.local",0,NOERROR,false,"0.001",0,CrIrgE1m2PiwrBcfX2
"Oct 25, 2025 @ 04:54:10.247","muNJGZoBfVQxV9_u3QX1","-",".ds-filebeat-8.19.4-2025.10.24-000002","-","5d10e147-1c21-4241-a286-3d5a0ba51804",logmonitor,"a7f056b0-7095-48c4-b0bf-641edc9206b7",logmonitor,filebeat,"8.19.4","224.0.0.251","224.0.0.251",5353,"fe80::6588:b5b4:d4a:6871, 192.168.56.1","60, 60",AA,0,IN,"ech-rog.local","ech-rog.local","-",local,"*","fe80::6588:b5b4:d4a:6871, 192.168.56.1",NOERROR,answer,"1.12.0",network,"Oct 25, 2025 @ 04:54:13.748","zeek.dns","0.8",CQjYHh2AUocTJ6kfAb,"Oct 25, 2025 @ 04:54:22.705",event,zeek,"{""ts"":1761360850.247256,""uid"":""CQjYHh2AUocTJ6kfAb"",""id.orig_h"":""192.168.56.1"",""id.orig_p"":5353,""id.resp_h"":""224.0.0.251"",""id.resp_p"":5353,""proto"":""udp"",""trans_id"":0,""rtt"":0.0007610321044921875,""query"":""ech-rog.local"",""qclass"":1,""qclass_name"":""C_INTERNET"",""qtype"":255,""qtype_name"":""*"",""rcode"":0,""rcode_name"":""NOERROR"",""AA"":true,""TC"":false,""RD"":false,""RA"":false,""Z"":0,""answers"":[""fe80::6588:b5b4:d4a:6871"",""192.168.56.1""],""TTLs"":[60.0,60.0],""rejected"":false}",success,"connection, info, protocol",dns,"x86_64",false,logmonitor,2864b54237be450b92a7c27ecc2a0d4e,"10.0.2.3, fe80::f5f1:e7:ed07:ea87, 192.168.56.4, fe80::a064:1e98:9a0a:734a","08-00-27-02-36-FB, 08-00-27-9D-74-3E",logmonitor,noble,debian,"6.8.0-86-generic",Ubuntu,Ubuntu,ubuntu,linux,"24.04.3 LTS (Noble Numbat)",log,"/opt/zeek/logs/current/dns.log","688,385","1:yE1mvMiAIq2FzsFZ4s/DHt9ThWk=",outbound,dns,udp,"192.168.56.1, 224.0.0.251",zeek,"192.168.56.1","192.168.56.1",5353,"zeek.dns, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",true,false,false,false,"60, 60","fe80::6588:b5b4:d4a:6871, 192.168.56.1",1,"C_INTERNET",255,"*","ech-rog.local",0,NOERROR,false,"0.001",0,CQjYHh2AUocTJ6kfAb
